algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.4580963210264842,1.972531718413035,nan,0.5636386786188398,0.5638626518845559,1000.0,nan,nan,0,0,0,30800,0.04447437226608758,1.9060445256894676,1.0,1.0,225.45499093191964,225.54495796203614,4.986668791089739,4.986606562137604,964.6712724282146,959.3900668043229,225.45499093191964,225.54495796203614,65.85714285714286,151.695,1.0,1.0,9.907069802998256,9.906946172053752,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,397.26142453572413
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.946910628173779,0.5716616513331731,1.7056602036952973,nan,0.6107075922191143,0.9675937578082084,1000.0,nan,nan,0,0,0,31168,0.13497246408912106,1.9378655629898345,0.9865191131830215,0.8800088974833489,226.07898426055908,250.16805137634276,5.01009339094162,5.017158679962158,1108.0642935477626,1225.6472704830876,226.07898426055908,250.16805137634276,43.625,152.35,1.003396583501109,1.108847004847158,9.887471029295519,9.901414450116873,1.003396583501109,1.108847004847158,0.8561297036494065,0.9619420870209152,0.887898543090732,1.1010358625252283,107.301748046875,525.7169655867634
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.0578618851857744,0.6214413168032964,1.4811350870132447,nan,0.616603422164917,1.5383204293251038,1000.0,nan,nan,0,0,0,31306,0.2270305459850052,2.03515468904032,0.9960068941116333,0.9564205205440521,221.96363627115886,230.70575309753417,5.044403489430746,5.097924695014954,1180.2068352955546,1229.2468425024972,221.96363627115886,230.70575309753417,50.13333333333333,152.77,0.9841127104009059,1.0229152212528745,9.889035215927967,9.993958045342804,0.9841127104009059,1.0229152212528745,0.9502802032071311,1.009388758454679,0.959182360560395,1.0202080693329696,98.94121032714844,527.1049420598655
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2187977864449215,0.6506829841931661,1.304991690715154,nan,0.5976517856121063,2.0270404773950577,1000.0,nan,nan,0,0,0,31382,0.3484121039135585,2.1790926673338245,0.9973290234804153,0.96901152998209,219.5251106262207,225.73959350585938,5.075859808921814,5.301881632804871,1318.0904517839974,1347.5551277810778,219.5251106262207,225.73959350585938,42.2,152.69,0.9730375707821517,1.0005181558688907,9.884584723323098,10.324733181238571,0.9730375707821517,1.0005181558688907,1.0806843292816646,1.0696547719725116,0.9715858475728468,0.9980199208610054,99.07684182739258,591.745669183791
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.415176216193889,0.6730403163035711,1.1756028040250142,nan,0.5764031878539494,2.466815912723541,1000.0,nan,nan,0,0,0,31208,0.4378516715125632,2.3457001348305124,0.9981003659112113,0.9669496256113053,216.9111567905971,224.02653465270996,5.109246662684849,5.710757005214691,1510.457080406354,1528.1066923882622,216.9111567905971,224.02653465270996,49.357142857142854,152.585,0.9626145875230853,0.9925438898250115,9.883491266965482,11.047072242768104,0.9626145875230853,0.9925438898250115,1.2009910568397426,1.132375920383983,0.9689875245094299,0.9905858980856331,95.6841262512207,653.5354752066829
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.46398403690376,0.6905966488520304,1.0814772701263429,nan,0.8046560883522034,2.8673943138122557,1000.0,nan,nan,0,0,0,30866,0.47525317612931967,2.4462256795264374,0.9828895396656461,0.9598210680484772,218.17452155219183,223.25847831726074,5.150618447197808,6.386495862007141,1783.6751666865564,1729.9999745467087,218.17452155219183,223.25847831726074,55.333333333333336,151.84,0.9675053978375038,0.9894488068180144,9.897319618341584,12.272155554812947,0.9675053978375038,0.9894488068180144,1.263642177488167,1.170657817541118,0.9608144472090251,0.9885038753308154,93.23053271484375,724.1061428190415
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.513522988428632,0.7021593161424001,1.0111981149514515,nan,0.6614883303642273,3.2324879348278044,1000.0,nan,nan,0,0,0,31172,0.5551445598226004,2.4883617774605438,0.9623142560323079,0.950200203359127,220.68510843912762,223.0363217163086,5.175846322377523,7.352383711338043,2048.792653060691,1917.565354932675,220.68510843912762,223.0363217163086,45.93333333333333,152.415,0.9772556306747574,0.9886642158403309,9.879712184672702,14.03431060641087,0.9772556306747574,0.9886642158403309,1.3284314468777776,1.1789794272955836,0.9510453698246978,0.9878682680380814,95.83508193969726,828.4899215648908
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.569070167631754,0.710295648376147,0.9573319975535075,nan,0.6112413638167911,3.5640589988231657,1000.0,nan,nan,0,0,0,31048,0.6593509370098599,2.529757306710679,0.9677395323912302,0.9389888593554496,217.22212388780383,223.15627571105958,5.201086971494886,8.597059993743896,2278.432190503319,2071.4580010980126,217.22212388780383,223.15627571105958,36.94444444444444,151.915,0.962473280531641,0.9892802303883396,9.861925997284256,16.30112511426569,0.962473280531641,0.9892802303883396,1.4075134848901876,1.1816422633427337,0.9413627681382205,0.9870668125102637,97.08250674438476,910.6067592973245
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.625556737534291,0.7165183160702387,0.9144578109184901,nan,0.6994868905647941,3.8796146500110624,1000.0,nan,nan,0,0,0,31914,0.7619163207319201,2.572717287064486,0.9308302350666212,0.9304152745008468,222.72471884022588,222.64218910217286,5.231515013653299,10.0912336063385,2590.5802876781363,2171.7422043262845,222.72471884022588,222.64218910217286,49.608695652173914,153.865,0.9869680870723588,0.9873511439537309,9.853710593544388,19.00713182112615,0.9869680870723588,0.9873511439537309,1.4862367072649463,1.183829204221709,0.9304580731242227,0.9873116358448899,99.30221270751953,987.8635749637081
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.6856701843135298,0.7225876474380493,0.8794179151455561,nan,0.7231168150901794,4.175266542434692,1000.0,nan,nan,0,0,0,31738,0.8263357483378947,2.6175794861979726,0.8874188794030083,0.9226900634169578,229.21371799045139,222.0569334411621,5.259267224205865,11.808255639076233,2904.373439110577,2236.08217953776,229.21371799045139,222.0569334411621,54.94444444444444,153.745,1.0168225822575998,0.9845871472458114,9.84016244878487,22.093411262789616,1.0168225822575998,0.9845871472458114,1.542833243481926,1.1900055523039164,0.9197777638194757,0.9872487886688031,97.0744672241211,998.9903156230848
