algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.37926398858428,2.0957787191867827,nan,0.5606598556041718,0.5639234900474548,1000.0,nan,nan,0,0,0,50158,224.26490783691406,225.56935465494792,4.983988523483276,4.98387647151947,9.901744885828023,9.901522270957557,0.019060445256894678,1.906044525689468,1.0,1.0,224.26490783691406,225.56935465494792,1.0,1.0,1261.5221195067045,1288.2606447547123,1.0,1.0,65.0,166.76,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,778.0024753308542
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9760515613573706,0.5551704865694046,1.8908025813102722,nan,0.5589936276276907,1.023387150367101,1000.0,nan,nan,0,0,0,51210,223.59742863972983,238.78409810384116,5.000523606936137,5.008316556612651,9.868584961765938,9.883964428403948,0.13510979829435782,1.9622634103606849,0.9900498337491682,1.0587140061198574,223.59742863972983,238.78409810384116,0.9900498337491682,1.0587140061198574,1247.521748146267,1330.807625507051,1.0,0.9306457412242889,58.5,168.36,1.231401965534154,0.9477680503735617,0.9333132127156625,1.0560730764132926,148.6367971496582,828.425097259741
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.100240380568627,0.6524484831094742,1.6803057205677032,nan,0.5532988640997145,1.557605934937795,1000.0,nan,nan,0,0,0,51100,221.31918674045139,228.16045399983724,5.026015440622966,5.08907255490621,9.852987333835795,9.976604333361772,0.22363997897057375,2.0805738643543172,0.9801986733067553,1.0112675995476574,221.31918674045139,228.16045399983724,0.9801986733067553,1.0112675995476574,1221.6969071863577,1255.1555337900604,1.0,0.9683034398158391,68.88888888888889,168.26666666666668,1.3378003102008198,0.9907473675140417,0.9692266405979021,1.0103626793658835,140.88001776123048,775.0838646033907
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.2647661385029787,0.7109324815869331,1.4803746843338013,nan,0.583875162260873,2.0368150027592975,1000.0,nan,nan,0,0,0,51242,219.48053087506975,224.78469451904297,5.060347727366856,5.299858455657959,9.854376937817364,10.320793303725845,0.35481393115735793,2.235502826361737,0.9721764086566438,0.9960840727027351,219.48053087506975,224.78469451904297,0.9721764086566438,0.9960840727027351,1241.9714261776876,1261.540122347511,0.9982164118971143,0.973580651084582,53.07142857142857,168.33,1.4832272682799854,1.0385131923917794,0.9746790608023382,0.9950181258981325,141.01627157592773,791.6992733414818
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.427008279537608,0.7515709820389748,1.3000516623258591,nan,0.5976453887091743,2.4918692660331727,1000.0,nan,nan,0,0,0,50968,216.9786580403646,221.83520243326822,5.100267039404975,5.7214794381459555,9.86612079454037,11.067814062303018,0.4377705671939937,2.4183357173369417,0.9633448110382612,0.9832083223116093,216.9786580403646,221.83520243326822,0.9633448110382612,0.9832083223116093,1304.5247228123565,1295.869072905747,0.9973403414090475,0.9766661848624547,61.44444444444444,168.05,1.6261096572797624,1.1016199783264553,0.9772683447618701,0.98262977343957,137.0067373046875,801.0028887540707
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.4769911062016163,0.7797284814715385,1.145679895877838,nan,0.7823095222314199,2.920438520908356,1000.0,nan,nan,0,0,0,50564,217.04464721679688,219.37576115926106,5.145615180333455,6.4178788423538204,9.887705446412523,12.332460426985378,0.47241961766825297,2.469102457490866,0.9651313205815703,0.9726606807099675,217.04464721679688,219.37576115926106,0.9651313205815703,0.9726606807099675,1399.5422268608127,1358.31572315224,0.9853853384653727,0.9774699397881825,57.166666666666664,167.40333333333334,1.670429321561821,1.1172088990063207,0.9776251436838137,0.9725130461976459,134.2299924621582,831.7839406136737
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.532923100813985,0.7998439785838127,1.019045693576336,nan,0.665631081376757,3.3198715058962502,1000.0,nan,nan,0,0,0,50646,216.8671417236328,217.5336801147461,5.1855195590427945,7.415758760770162,9.898176564832893,14.155281595323677,0.52795576054403,2.5218194864874754,0.958705660160261,0.964578717049706,216.8671417236328,217.5336801147461,0.958705660160261,0.964578717049706,1536.0933740512592,1445.6746428088297,0.9820112926619393,0.9757750662167867,55.57142857142857,167.52333333333334,1.7242739961100972,1.1280629814542218,0.9759172603051126,0.9644448037004353,133.5563480529785,888.9100929220156
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.596253052985437,0.814054978787899,0.91800168633461,nan,0.5795886644295284,3.6903392044703165,1000.0,nan,nan,0,0,0,51486,215.15294102260046,216.17108230590821,5.222570214952741,8.706966937383015,9.902660974092788,16.50952273397424,0.6611431992983827,2.57897156423282,0.9546838656969324,0.9583734112709014,215.15294102260046,216.17108230590821,0.9546838656969324,0.9583734112709014,1707.7648372477743,1547.8462073431845,0.9760937435286385,0.9721366757154465,61.42857142857143,168.75333333333333,1.8118402182590452,1.120712040250197,0.9723131054905569,0.958208909238941,135.72693173217775,976.5251398488483
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.6670620566875654,0.8244369819760322,0.8382834386825562,nan,0.6739677667617798,4.032129848798116,1000.0,nan,nan,0,0,0,51670,212.22432352701824,215.08364573160807,5.266854763031006,10.264972168604533,9.92027403872375,19.334373453242286,0.7901177335796161,2.6399999082914967,0.9414280237519982,0.95368471688162,212.22432352701824,215.08364573160807,0.9414280237519982,0.95368471688162,1879.9169519074494,1641.7845664704394,0.9801631967226664,0.9668856795628865,64.0,169.03333333333333,1.9000470384067443,1.1137811714312262,0.9675179422847808,0.9531010648278287,135.4169171447754,1041.468248439487
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.7445829566205764,0.8322164779901504,0.7746292379498482,nan,0.749163880944252,4.347387598355611,1000.0,nan,nan,0,0,0,51628,222.86720530192056,214.3287314860026,5.304152965545654,12.058539460500082,9.92414429788826,22.56169578915444,0.8524083859090151,2.704766538550646,0.9885442368380631,0.9499223192426957,222.86720530192056,214.3287314860026,0.9885442368380631,0.9499223192426957,2191.2324604123246,1713.5193186028657,0.9183603177467982,0.9606194267670314,75.16666666666667,169.08666666666667,1.9638232774939937,1.1239485845341413,0.9589940764200993,0.9514077776117483,133.94605181884765,1080.7011702116151
