algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.45785773776471617,1.9726800015568733,nan,0.5635412782430649,0.5640535992383957,1000.0,nan,nan,0,0,0,10662,1.0,1.0,0.05718133577068404,1.906044525689468,1.0,1.0,225.4163589477539,225.6212565612793,959.2692011536615,959.8655770581192,4.986461043357849,4.986617460250854,34.916666666666664,102.43,9.906657068291487,9.906967823455364,1.0,1.0,225.4163589477539,225.6212565612793,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,214.99557623931173
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.9450053237427818,0.5716979843378067,1.7060810151696204,nan,0.6008572860767967,0.9674473816156387,1000.0,nan,nan,0,0,0,10964,0.9865889643367968,0.8795801246166229,0.13953199507634312,1.9376908599670981,1.0033274273779267,1.1092715113525762,226.41825786389802,250.12145065307618,1111.3332737955427,1224.5452219053386,5.009778123152883,5.017197723388672,31.94736842105263,103.57,9.886848845059747,9.901491502722166,1.0033274273779267,1.1092715113525762,226.41825786389802,250.12145065307618,0.4991637680544941,0.8465277861009122,0.8966655696139616,1.0923560693734304,58.62818392944336,287.1397087852983
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.05798351488955,0.6216954830288887,1.4817486545443534,nan,0.6026712894439697,1.5384335482120515,1000.0,nan,nan,0,0,0,11058,0.9979797899723053,0.956167443394661,0.23323544618236836,2.03467646355908,0.9821788804957027,1.0231632871389518,221.66341094970704,230.8101872253418,1190.901760772877,1228.8556102890016,5.042460918426514,5.098085908889771,32.85,104.01,9.885227004885664,9.994274088595233,0.9821788804957027,1.0231632871389518,221.66341094970704,230.8101872253418,0.5935236496577107,0.9156764086534082,0.9631361678242684,1.0163325526984104,55.02857388305664,293.4071924887154
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.216337553695151,0.6509039847552777,1.3057440301775933,nan,0.5845190838531211,2.0289815747737885,1000.0,nan,nan,0,0,0,11600,0.9979063095869841,0.969612552523613,0.35935454156370333,2.1798661118474727,0.9724773460584525,0.9999348962279078,219.3056685836227,225.51232986450196,1326.2567532280168,1344.2558368053217,5.074405793790464,5.30252281665802,36.925925925925924,106.03,9.881753215697618,10.325981804399625,0.9724773460584525,0.9999348962279078,219.3056685836227,225.51232986450196,0.7234568556204573,0.9967021553160101,0.9756277607181879,0.9940974643021184,56.944972076416015,340.46903203537727
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.4143158427926585,0.6731719826161862,1.1761594104766846,nan,0.5699163807762994,2.4703865599632264,1000.0,nan,nan,0,0,0,10916,0.9988148477342393,0.968024954199791,0.44697602792523566,2.3490465304279144,0.9619281209330534,0.991510725473576,216.96202511257596,223.5792643737793,1514.960934664422,1524.5323997364528,5.1078765922122535,5.712679195404053,31.61111111111111,103.47,9.880840958525704,11.050790589366782,0.9619281209330534,0.991510725473576,216.96202511257596,223.5792643737793,0.8273901284257715,1.0630723938364002,0.9727217176203,0.9869981247809537,52.52648577880859,359.4450735952098
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.464164072618598,0.6903657329082489,1.0819133007526398,nan,0.6917149325211843,2.865948033332825,1000.0,nan,nan,0,0,0,11580,0.9827357166343265,0.9590119552612305,0.5168598232216822,2.4469956493365874,0.9676517188310609,0.9902184587089832,218.23580000135632,223.52865478515625,1784.0214318949322,1728.1657001366923,5.14646037419637,6.391034107208252,50.666666666666664,106.68,9.889329553087572,12.280876150935972,0.9676517188310609,0.9902184587089832,218.23580000135632,223.52865478515625,0.9028869884446633,1.1015889963198378,0.9626308341147536,0.9867760746598084,52.56221975708008,409.85791157555605
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.507586169750295,0.7021722331643104,1.0115197785198689,nan,0.6733554899692535,3.2300711822509767,1000.0,nan,nan,0,0,0,10848,0.9713251888751984,0.9491688460111618,0.5882234130283145,2.4881728181523095,0.968769453708814,0.9896355116120961,218.4966320461697,223.23317596435547,2016.069107852579,1919.3925904989128,5.1756074163648815,7.358164882659912,30.0,103.08,9.879256158257489,14.045345769588609,0.968769453708814,0.9896355116120961,218.4966320461697,223.23317596435547,0.9682132940531135,1.1212120295699395,0.9525486271260148,0.9864525536268496,52.512513946533204,456.45700598247544
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5663989711188537,0.7103167325258255,0.9575823459029198,nan,0.6409480490467765,3.5633717799186706,1000.0,nan,nan,0,0,0,11050,0.9709844480861317,0.9384860879182816,0.67886575839686,2.529718862727809,0.9594477411915991,0.9897490113691805,216.6134366122159,223.32037567138673,2264.12009403247,2069.1189311677344,5.201293273405596,8.604259662628174,30.90909090909091,103.7,9.862317172088229,16.314776607142242,0.9594477411915991,0.9897490113691805,216.6134366122159,223.32037567138673,1.0490363792630497,1.1401725062482788,0.9443464479485496,0.9842848478945346,54.19506634521484,513.4450703709756
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.6239352342915,0.7168659822642803,0.9145824868977069,nan,0.678305756162714,3.8896850514411927,1000.0,nan,nan,0,0,0,11710,0.9282326565848457,0.9325097340345383,0.7725445529705516,2.573367209951002,0.9893659542299079,0.9854177141213349,223.11151914243345,222.45797073364258,2590.443503935378,2171.8054607628756,5.230104993890833,10.10054003715515,39.0,106.57,9.851054780336503,19.0246607540809,0.9893659542299079,0.9854177141213349,223.11151914243345,222.45797073364258,1.1327090843666419,1.1563292170635988,0.9316004341042886,0.9862571037507166,56.53961618041992,574.2450413650856
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.6843399149292506,0.7226582318544388,0.8794416360557079,nan,0.6795337150494257,4.173970363140106,1000.0,nan,nan,0,0,0,11736,0.9222778206070265,0.9220907270908356,0.856022331814485,2.617509302620419,0.9849639088057115,0.9851348994047204,222.27494684855142,222.28601898193358,2804.7944458426186,2233.5236730969523,5.254247883955638,11.82437650680542,42.541666666666664,107.15,9.830771193056192,22.12357363152046,0.9849639088057115,0.9851348994047204,222.27494684855142,222.28601898193358,1.208319725975672,1.1682269784708237,0.9221269387391305,0.9851018044500734,55.12640124511719,581.334868019836
