algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3799179895222187,2.0956995987892153,nan,0.5635410398244858,0.5640534126758575,1000.0,nan,nan,0,0,0,10662,1.0,1.0,9.9013383200937,9.901495925497972,4.983783880869548,4.9838632106781,225.4163589477539,225.6212565612793,225.4163589477539,225.6212565612793,1294.534361076787,1288.5584086082727,1.0,1.0,34.916666666666664,102.43,0.05718133577068404,1.906044525689468,1.0,1.0,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,288.7805063874975
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.972522848037687,0.5538319866359234,1.890579923391342,nan,0.607627975313287,1.0234525233507157,1000.0,nan,nan,0,0,0,10964,0.9972520683622147,1.0588685656797734,9.87035597590264,9.88393338025677,5.001420999828138,5.008300824165344,225.04282901161596,238.75757080078125,225.04282901161596,238.75757080078125,1244.6381948623625,1331.0480131519057,0.9972520683622147,1.0588685656797734,31.94736842105263,103.57,0.13966416195094775,1.9621482279070972,0.9927253817257128,0.930489628314972,0.5041609751421776,0.8550358139985326,0.9404264292797121,1.0490306375366336,56.30314166259765,313.50585403515083
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.095246064195334,0.6501307328045368,1.6800800061225891,nan,0.60333431661129,1.5580307161808014,1000.0,nan,nan,0,0,0,11058,0.9817746976186467,1.0112274954858163,9.860003745186699,9.976908115281434,5.02959451675415,5.089227514266968,221.5721450805664,228.11699127197267,221.5721450805664,228.11699127197267,1220.3838964966628,1253.5750776732846,0.9817746976186467,1.0112274954858163,32.85,104.01,0.2334056652379694,2.0805328495050968,0.9983921378850937,0.9683443540334702,0.6028311020913948,0.9303802646620775,0.9733523180087408,1.006318695841288,54.48628405761719,299.5303713945234
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.260838695486525,0.7087154823541642,1.4803354254364967,nan,0.5848120870413603,2.037576096057892,1000.0,nan,nan,0,0,0,11600,0.9722153084214163,0.9959489638441993,9.854289526098288,10.322354913755449,5.060302840338813,5.300660362243653,219.24667358398438,224.61327209472657,219.24667358398438,224.61327209472657,1250.1155337584985,1258.3621792406461,0.9722153084214163,0.9959489638441993,36.925925925925924,106.03,0.3595698813071752,2.235857427837058,0.9981763274581344,0.9737198746204376,0.7348273906131517,1.0133797424561002,0.978919277979633,0.9909032260771514,56.761974792480466,319.1786746710882
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.427002291533449,0.7502834820747375,1.3001689594984054,nan,0.5700421002176073,2.492458074092865,1000.0,nan,nan,0,0,0,10916,0.9618146930785263,0.9832029067137755,9.867167267724954,11.071984148023159,5.100808011160956,5.723635153770447,216.93640560574002,221.70464797973634,216.93640560574002,221.70464797973634,1299.9553214232694,1292.2696107335373,0.9618146930785263,0.9832029067137755,31.61111111111111,103.47,0.4472100028896559,2.4183690555895536,0.9989329046673245,0.976671821475029,0.8414418134296356,1.0832281809479327,0.980067579928091,0.979940297854161,52.15064019775391,305.25231371794507
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.4755598137625134,0.7790467298030853,1.1460503724217415,nan,0.6979490849706862,2.922380275726318,1000.0,nan,nan,0,0,0,11580,0.9625812347906018,0.9722584595346091,9.888368680572349,12.340585615064104,5.145960330963135,6.422107234001159,217.09274207221137,219.47373657226564,217.09274207221137,219.47373657226564,1400.9847508208009,1356.7139474625133,0.9625812347906018,0.9722584595346091,50.666666666666664,106.68,0.5176821603639709,2.4693529692652834,0.9880661699506972,0.9778927832841873,0.9080163221442334,1.1086212439404073,0.9794446558265363,0.9707822727092518,51.71008602905273,321.7782405220515
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.533064787766622,0.7995569801330566,1.0197158397734165,nan,0.6807325250572629,3.3207784509658813,1000.0,nan,nan,0,0,0,10848,0.9633626804447588,0.9645402932670194,9.900369780797321,14.168572822572862,5.1866685549418134,7.422721853256226,217.27939775254993,217.57421432495119,217.27939775254993,217.57421432495119,1550.1794546082135,1444.8805258250459,0.9633626804447588,0.9645402932670194,30.0,103.08,0.5895149645813446,2.5221097643515296,0.9770662983258566,0.9758158659934998,0.9760339245353817,1.1315577131794503,0.976006609908605,0.9643606574127761,51.33690118408203,344.7825655309048
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5953350917786944,0.8138339793682099,0.9188460554182529,nan,0.648159918459979,3.689884812831879,1000.0,nan,nan,0,0,0,11050,0.9531645046752435,0.9586939412088948,9.906967060788922,16.528862843148204,5.224841204556552,8.717166728973389,215.19642985950816,216.31411376953125,215.19642985950816,216.31411376953125,1705.8494506938257,1549.279468197432,0.9531645046752435,0.9586939412088948,30.90909090909091,103.7,0.6804936403279982,2.5791009023728937,0.9777232706546783,0.9717929047346116,1.0602150927369771,1.1543530453162278,0.9728623149824924,0.9576968297028267,52.731465667724606,384.9132694700147
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.665998336258549,0.8241749794781208,0.8391486720740795,nan,0.7068568048653779,4.030509090423584,1000.0,nan,nan,0,0,0,11710,0.9653993335404425,0.9542493315953068,9.917954983370533,19.3591477323732,5.265623534167254,10.278125286102295,217.69888475206164,215.42069046020507,217.69888475206164,215.42069046020507,1923.5232978177762,1645.104263732765,0.9653993335404425,0.9542493315953068,39.0,106.57,0.7757848931714503,2.639713067038272,0.9541953868336148,0.9662740397453308,1.1485705279448146,1.1754299705423361,0.9637061371578006,0.9566198044497844,54.839877868652344,432.89111082871307
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.7337892925082694,0.8321492274105549,0.775473527610302,nan,0.704598585764567,4.3414848279953,1000.0,nan,nan,0,0,0,11736,0.963931841328038,0.951313784664058,9.918035505330652,22.590442324367647,5.300888001918793,12.073903608322144,217.52519861857095,214.65391357421876,217.52519861857095,214.65391357421876,2127.8482662598594,1719.4632927431728,0.963931841328038,0.951313784664058,42.541666666666664,107.15,0.8603868384839584,2.7033385969549513,0.9452905679742495,0.9590969210863114,1.228977190178157,1.192165323267504,0.9564247237097833,0.953755989179667,53.37199224853516,446.0293753291078
