algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.38011423967778685,2.0956678336858747,nan,0.17508522186428307,0.17518180400133132,,nan,nan,0,0,0,10662,4.983783880869548,4.9838632106781,9.9013383200937,9.901495925497972,34.916666666666664,102.43
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5543589866161347,1.8905084842443467,nan,0.1794263556227088,0.18023450136184693,,nan,nan,0,0,0,10964,5.000484491649427,4.99985481262207,9.868507767343806,9.867265089282753,31.94736842105263,103.57
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6506762333214283,1.6799598383903502,nan,0.1812266371399164,0.18252810150384902,,nan,nan,0,0,0,11058,5.026235032081604,5.025486330986023,9.85341782034865,9.851950068707467,32.85,104.01
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7092169818282127,1.4801561671495438,nan,0.17615992300212382,0.1777985443174839,,nan,nan,0,0,0,11600,5.059571866635923,5.058628282546997,9.852866048742978,9.851028539981572,36.925925925925924,106.03
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7507217308878898,1.299904991388321,nan,0.16705711524933575,0.1690359590947628,,nan,nan,0,0,0,10916,5.100231832928127,5.096764445304871,9.866052689997876,9.859345263726222,31.61111111111111,103.47
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.7794909797608852,1.1456730118393899,nan,0.154629531763494,0.15656535297632218,,nan,nan,0,0,0,11580,5.139704571829902,5.1373691701889035,9.876347745954167,9.871860087488466,50.666666666666664,106.68
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7999684809148312,1.0192159195244312,nan,0.1403347397223115,0.14220724880695343,,nan,nan,0,0,0,10848,5.181122753355238,5.178268623352051,9.889783893949836,9.884335899320009,30.0,103.08
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8142657299339772,0.9183081702888012,nan,0.1260471884906292,0.12766486495733262,,nan,nan,0,0,0,11050,5.2221526232632725,5.218058714866638,9.901869166849188,9.894106593012504,30.90909090909091,103.7
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8245589789748192,0.8385269574820995,nan,0.11312940355390311,0.11456544026732444,,nan,nan,0,0,0,11710,5.25995468210291,5.2559240484237675,9.907277535729863,9.899685720036091,39.0,106.57
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8325862278044224,0.7747892872989177,nan,0.10184201907366514,0.10326906196773052,,nan,nan,0,0,0,11736,5.294994473457336,5.291591272354126,9.907008631246304,9.900641194439261,42.541666666666664,107.15
